Method,Sensor,Representation,Year,Month,AP2D ,AP2D ,AP2D ,AP3D,AP3D,AP3D,APBEV,APBEV,APBEV,NuScenes,NuScenes,Waymo,Waymo,Time (s),Code,Hardware,Paper
VF-Fusion,Multi-Modal,Intermediate,2022,,,,,,,,,,,,,,,,FALSE,,
AVOD-FPN,Multi-Modal,Intermediate,,,,,,,,,,,,,,,,,FALSE,,
DeepFusion,Multi-Modal,Intermediate,2022,,,,,,,,,,,,,,,,FALSE,,
MSMDFusion,Multi-Modal,Intermediate,2022,,,,,,,,,,,,,,,,FALSE,,
CAT-Det,Multi-Modal,Intermediate,2022,,95.97,94.71,92.07,89.87,81.32,76.68,92.59,90.07,85.82,,,,,0.3,FALSE,GPU @ 2.5 Ghz (Python + C/C++),
HMFI,Multi-Modal,Intermediate,2022,,96.29,95.16,92.45,88.9,81.93,77.3,93.04,89.17,86.37,,,,,0.1,TRUE,1 core @ 2.5 Ghz (C/C++),
LoGoNet,Multi-Modal,Intermediate,2023,,96.6,95.55,93.07,91.8,85.06,80.74,95.48,91.52,87.09,,,,,0.1,TRUE,1 core @ 2.5 Ghz (C/C++),
SDVRF,Multi-Modal,Intermediate,2023,,,,,,,,,,,,,,,,FALSE,,
SupFusion,Multi-Modal,Intermediate,2023,,,,,,,,,,,,,,,,FALSE,,
FGFusion,Multi-Modal,Intermediate,2023,,,,,,,,,,,,,,,,FALSE,,
VCD,Multi-Modal,Intermediate,2023,,,,,,,,,,,,,,,,FALSE,,
UniTR,Multi-Modal,Intermediate,2023,,,,,,,,,,,0.709 0.745,,,,,FALSE,,
CLOCS,Multi-Modal,Late-Fusion,2020,Dec,96.77,96.07,91.11,89.16,82.28,77.23,92.91,89.48,86.42,-,-,-,-,0.1,FALSE,1 core @ 2.5 Ghz (Python),https://arxiv.org/abs/2009.00784
Fast-CLOCS,Multi-Modal,Late-Fusion,2022,Jun,96.69,95.75,90.95,89.1,80.35,76.99,93.03,89.49,86.4,63.1,68.7,-,-,0.1,TRUE,GPU @ 2.5 Ghz (Python),https://openaccess.thecvf.com/content/WACV2022/papers/Pang_Fast-CLOCs_Fast_Camera-LiDAR_Object_Candidates_Fusion_for_3D_Object_Detection_WACV_2022_paper.pdf
3D FCN,LiDAR,Projection,2016,Nov,86.74,74.65,67.85,-,-,-,70.62,61.67,55.61,-,-,-,-,5,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/1611.08069
C-YOLO,LiDAR,Projection,2018,Mar,-,-,-,67.72,64,63.01,85.89,77.4,77.33,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/1803.06199
TowardsSafe,LiDAR,Projection,2018,Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/1804.05132
TopNet,LiDAR,Projection,2018,May,58.04,45.85,41.11,12.67,9.28,7.95,80.16,68.16,63.43,-,-,-,-,0.01,FALSE,NVIDIA GeForce 1080 Ti (tensorflow-gpu),https://arxiv.org/pdf/1805.08689
BirdNet,LiDAR,Projection,2018,May,79.3,57.12,55.16,40.99,27.26,25.32,84.17,59.83,57.35,-,-,-,-,0.11,TRUE,Titan Xp (Caffe),https://arxiv.org/abs/1805.01195
PIXOR,LiDAR,Projection,2019,Feb,-,-,-,-,-,-,81.7,77.05,72.95,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/1902.06326
FVNet,LiDAR,Projection,2019,Mar,86.14,77.19,69.27,65.43,57.34,51.85,78.04,65.03,57.89,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/1903.10750
MODet,LiDAR,Projection,2019,Sep,66.06,62.54,60.04,-,-,-,90.8,87.56,82.69,-,-,-,-,0.05,FALSE,GTX1080Ti,https://ieeexplore.ieee.org/document/8885850
HDNet,LiDAR,Projection,2020,Dec,-,-,-,-,-,-,89.14,86.57,78.32,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2012.11704
PIXOR++,LiDAR,Projection,2020,Dec,-,-,-,-,-,-,93.28,86.01,80.11,-,-,-,-,-,FALSE,-,https://proceedings.mlr.press/v87/yang18b/yang18b.pdf
BEVDetNet,LiDAR,Projection,2021,Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,-,https://arxiv.org/pdf/2104.10780
BirdNet+,LiDAR,Projection,2021,Nov,92.61,86.73,81.8,76.15,64.04,59.79,87.43,81.85,75.36,-,-,-,-,0.11,TRUE,Titan Xp (Caffe),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9628006
MGTANet,LiDAR,Projection,2022,Dec,-,-,-,-,-,-,-,-,-,67.5,72.7,-,-,-,TRUE,-,https://arxiv.org/abs/2212.00442
GPA3D,LiDAR,Projection,2023,Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2308.08140
Vote3D ,LiDAR,Voxel,2015,Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,-,https://www.roboticsproceedings.org/rss11/p35.pdf
Vote3Deep,LiDAR,Voxel,2016,Sep,78.95,70.3,63.12,-,-,-,-,-,-,-,-,-,-,1.5,TRUE,4 cores @ 2.5 Ghz (C/C++),https://arxiv.org/abs/1609.06666
3D FCN,LiDAR,Voxel,2016,Nov,54.38,45.94,40.48,-,-,-,-,-,-,-,-,-,-,5,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/1611.08069
VoxelNet,LiDAR,Voxel,2017,Nov,-,-,-,77.82,64.17,57.51,87.95,78.39,71.29,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/1711.06396
SECOND,LiDAR,Voxel,2018,Aug,-,-,-,83.13,73.66,66.2,89.39,83.77,78.59,-,-,-,-,-,TRUE,-,https://pdfs.semanticscholar.org/5125/a16039cabc6320c908a4764f32596e018ad3.pdf
PointPillars,LiDAR,Voxel,2018,Dec,94,91.19,88.17,82.58,74.31,68.99,90.07,86.56,82.81,40.1,55,56.62,-,0.016,TRUE,1080ti GPU and Intel i7 CPU,https://arxiv.org/abs/1812.05784
Voxel-FPN,LiDAR,Voxel,2019,Jun,-,-,-,85.48,76.14,68.05,89.2,87.63,79.23,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/1907.05286
PartA2,LiDAR,Voxel,2019,Jul,95.03,91.86,89.06,87.81,78.49,73.51,91.7,87.79,84.61,-,-,-,-,0.08,TRUE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/1907.03670
3D IoU Loss,LiDAR,Voxel,2019,Aug,95.92,90.79,85.65,86.16,76.5,71.39,91.36,86.22,81.2,-,-,-,-,0.08,TRUE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/1908.03851
CBGS,LiDAR,Voxel,2019,Aug,-,-,-,-,-,-,-,-,-,52.8,63.3,-,-,-,FALSE,-,https://arxiv.org/abs/1908.09492
Patches,LiDAR,Voxel,2019,Oct,96.31,92.57,87.41,88.67,77.2,71.82,92.72,88.39,83.19,-,-,-,-,0.15,FALSE,GPU @ 2.0 Ghz,https://arxiv.org/abs/1910.04093
MVF,LiDAR,Voxel,2019,Oct,-,-,-,-,-,-,-,-,-,-,-,62.93,-,-,FALSE,-,https://arxiv.org/abs/1910.06528
TANet,LiDAR,Voxel,2019,Dec,93.67,90.67,85.31,84.39,75.94,68.82,91.58,86.54,81.19,-,-,-,-,0.035,TRUE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/1912.05163
HotSpotNet,LiDAR,Voxel,2019,Dec,96.21,92.81,89.8,87.6,78.31,73.34,94.06,88.09,83.24,59.3,66,-,-,0.04,FALSE,1 core @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/1912.12791
HVNet,LiDAR,Voxel,2020,Feb,-,-,-,-,-,-,92.83,88.82,83.38,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2003.00186
SegVoxelNet,LiDAR,Voxel,2020,Feb,96,92.73,87.6,86.04,76.13,70.76,91.62,86.37,83.04,-,-,-,-,0.04,FALSE,1 core @ 2.5 Ghz (Python),https://arxiv.org/abs/2002.05316
DOPS,LiDAR,Voxel,2020,Apr,-,-,-,-,-,-,-,-,-,-,-,56.4,-,-,FALSE,-,https://arxiv.org/abs/2004.01170
SSN,LiDAR,Voxel,2020,Apr,-,-,-,-,-,-,-,-,-,46.3,56.9,-,-,-,TRUE,-,https://arxiv.org/abs/2004.02774
Reconfigurable Voxels,LiDAR,Voxel,2020,Apr,-,-,-,-,-,-,-,-,-,48.5,59,-,-,-,FALSE,-,https://arxiv.org/abs/2004.02724
Associate-3Ddet,LiDAR,Voxel,2020,Jun,95.61,92.45,87.32,85.99,77.4,70.53,91.4,88.09,82.96,-,-,-,-,0.05,FALSE,1 core @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/2006.04356
AFDet,LiDAR,Voxel,2020,Jun,-,-,-,-,-,-,-,-,-,-,-,63.69,-,-,TRUE,-,https://arxiv.org/abs/2006.12671
CenterPoint,LiDAR,Voxel,2020,Jun,-,-,-,81.17,73.96,69.48,-,-,-,58,65.5,76.7,68.8,-,TRUE,-,https://arxiv.org/abs/2006.11275
SA-SSD,LiDAR,Voxel,2020,Jun,97.92,95.16,90.15,88.75,79.79,74.16,95.03,91.03,85.96,-,-,-,-,0.04,TRUE,1 core @ 2.5 Ghz (Python),https://www4.comp.polyu.edu.hk/~cslzhang/paper/SA-SSD.pdf
SVGA-Net,LiDAR,Voxel,2020,Jun,96.05,94.67,91.86,87.33,80.47,75.91,92.07,89.88,85.59,-,-,-,-,0.03,FALSE,1 core @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/2006.04043
Pillar-OD,LiDAR,Voxel,2020,Jul,-,-,-,-,-,-,-,-,-,-,-,69.8,-,-,TRUE,-,https://arxiv.org/abs/2007.10323
CVC-Net,LiDAR,Voxel,2020,Nov,-,-,-,-,-,-,-,-,-,55.8,64.2,65.2,-,-,TRUE,-,https://arxiv.org/abs/2011.00782
3diomatch,LiDAR,Voxel,2020,Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2012.04355
Voxel R-CNN,LiDAR,Voxel,2020,Dec,96.49,95.11,92.45,90.9,81.62,77.06,94.85,88.83,86.13,-,-,75.59,66.59,0.04,TRUE,GPU @ 3.0 Ghz (C/C++),https://arxiv.org/abs/2012.15712
CIA-SSD,LiDAR,Voxel,2020,Dec,96.87,93.72,86.2,89.59,80.28,72.87,93.74,89.84,82.39,-,-,-,-,0.03,FALSE,1 core @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/2012.03015
SE-SSD,LiDAR,Voxel,2021,Apr,96.69,95.6,90.53,91.49,82.54,77.15,96.68,91.84,86.72,-,-,-,-,0.03,TRUE,1 core @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/2104.09804
SPG,LiDAR,Voxel,2021,Aug,96.23,95.32,92.68,90.64,82.66,77.91,92.8,89.12,86.27,-,-,-,-,0.09,FALSE,GPU @ 2.5 Ghz (Python),https://arxiv.org/abs/2108.06709
VoTr-TSD,LiDAR,Voxel,2021,Sep,95.95,94.81,92.24,89.9,82.09,79.14,94.03,90.34,86.14,-,-,74.95,65.91,0.07,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2109.02497
Object DGCNN,LiDAR,Voxel,2021,Oct,-,-,-,-,-,-,-,-,-,58.7,66.1,-,-,-,TRUE,-,https://arxiv.org/abs/2110.06923
BtcDet,LiDAR,Voxel,2021,Dec,96.23,93.47,88.55,90.64,82.86,78.09,92.81,89.34,84.55,-,-,-,-,0.09,TRUE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/2112.02205
SST,LiDAR,Voxel,2021,Dec,-,-,-,-,-,-,-,-,-,-,-,74.2,65.5,-,TRUE,-,https://arxiv.org/abs/2112.06375
AFDetv2,LiDAR,Voxel,2021,Dec,-,-,-,-,-,-,-,-,-,62.4,68.5,-,-,-,FALSE,-,https://arxiv.org/abs/2112.09205
Point2Seq,LiDAR,Voxel,2022,Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2203.13394
VoxSeT,LiDAR,Voxel,2022,Mar,96.16,95.23,90.49,88.53,82.06,77.46,92.7,89.07,86.29,-,-,-,-,0.033,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2203.10314
FocalsConv,LiDAR,Voxel,2022,Apr,96.3,95.28,92.69,90.55,82.28,77.59,92.67,89,86.33,-,-,-,-,0.1,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2204.12463
PillarNet,LiDAR,Voxel,2022,May,-,-,-,-,-,-,-,-,-,66,71.4,83.23,76.09,-,TRUE,-,https://arxiv.org/abs/2205.07403
FSD,LiDAR,Voxel,2022,Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2207.10035
PBTS,LiDAR,Voxel,2022,Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/2209.15252
SWFormer,LiDAR,Voxel,2022,Oct,-,-,-,-,-,-,-,-,-,-,-,77.8,69.2,-,FALSE,-,https://arxiv.org/abs/2210.07372
TED,LiDAR,Voxel,2022,Nov,96.64,96.03,93.35,91.61,85.28,80.68,95.44,92.05,87.3,-,-,-,-,0.1,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2211.11962
Harmonic Point Pillar,LiDAR,Voxel,2022,Nov,94.23,90.78,87.42,82.26,73.96,69.21,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2211.03407
BSAODet,LiDAR,Voxel,2023,Feb,-,-,-,88.66,81.95,77.4,-,-,-,-,-,-,-,-,FALSE,-,https://ieeexplore.ieee.org/document/10052705
VoxelNexT,LiDAR,Voxel,2023,Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2303.11301
MV-JAR,LiDAR,Voxel,2023,Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2303.13510
PillarNext,LiDAR,Voxel,2023,May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2305.04925
FSDv2,LiDAR,Voxel,2023,Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2308.03755
Diff3Det,LiDAR,Voxel,2023,Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/2309.02049
VoTr-SSD-SCP,LiDAR,Voxel,2023,Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/2309.06199
PASS-PV-RCNN++,LiDAR,Voxel,2024,Mar,95.79,94.59,92.1,87.65,81.28,76.79,92.17,88.37,85.75,-,-,-,-,1,TRUE,1 core @ 2.5 Ghz (Python),https://arxiv.org/abs/2403.01978
PV-GNN,LiDAR,Voxel,2024,Jun,-,-,-,91.64,82.49,77.28,95.09,92.38,87.44,-,-,-,-,-,FALSE,-,https://www.researchgate.net/publication/382007680_PV-GNNPoint-Voxel_3D_Object_Detection_based_on_Graph_Neural_Network
SCNet3D,LiDAR,Voxel,2024,Nov,-,-,-,89.16,82.35,77.72,-,-,-,-,-,-,-,-,FALSE,-,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10745877
PointNet,LiDAR,Point,2016,Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/1612.00593
PointNet++,LiDAR,Point,2017,Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/1706.02413
SplatNet,LiDAR,Point,2018,Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/pdf/1802.08275
iPOD,LiDAR,Point,2018,Dec,90.2,89.3,87.37,71.4,53.46,48.34,86.93,83.98,77.85,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/1812.05276
PointRCNN,LiDAR,Point,2018,Dec,95.92,91.9,87.11,86.96,75.64,70.7,92.13,87.39,82.72,-,-,-,-,0.1,TRUE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/1812.04244
STD,LiDAR,Point,2019,Jul,96.14,93.22,90.53,87.95,79.71,75.09,94.74,89.19,86.42,-,-,-,-,0.08,TRUE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/1907.10471
StarNet,LiDAR,Point,2019,Aug,-,-,-,81.63,73.99,67.07,-,-,-,-,-,53.7,-,-,TRUE,-,https://arxiv.org/abs/1908.11069
PointRGCN,LiDAR,Point,2019,Nov,96.19,92.67,87.66,85.97,75.73,70.6,91.63,87.49,90.73,-,-,-,-,0.26,TRUE,GPU @ V100 (Python),https://arxiv.org/abs/1911.12236
PI-RCNN,LiDAR,Point,2019,Nov,96.17,92.66,87.68,84.37,74.82,70.03,91.44,85.81,81,-,-,-,-,0.1,TRUE,1 core @ 2.5 Ghz (Python),https://arxiv.org/abs/1911.06084
3DSSD,LiDAR,Point,2020,Feb,97.69,95.1,92.18,88.36,79.57,74.55,92.66,89.02,85.86,42.6,56.4,-,-,0.04,TRUE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/2002.10187
Point-GNN,LiDAR,Point,2020,Mar,96.58,93.5,88.35,88.33,79.47,72.29,93.11,89.17,83.9,-,-,-,-,0.6,TRUE,GPU @ 2.5 Ghz (Python),https://arxiv.org/abs/2003.01251
3D IoU Net,LiDAR,Point,2020,Apr,-,-,-,87.96,79.03,72.78,94.76,88.38,81.93,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/2004.04962
SERCNN,LiDAR,Point,2020,Jun,96.31,94.24,89.71,87.74,78.96,74.3,94.11,88.1,83.43,-,-,-,-,-,TRUE,-,https://www.researchgate.net/publication/343456447_Joint_3D_Instance_Segmentation_and_Object_Detection_for_Autonomous_Driving
Faraway-Frustum,LiDAR,Point,2020,Nov,95.81,93.99,91.72,87.45,79.05,76.14,91.9,88.08,85.35,-,-,-,-,0.1,TRUE,GPU @ 2.5 Ghz (Python),https://arxiv.org/abs/2011.01404
PointFormer,LiDAR,Point,2020,Dec,-,-,-,87.13,77.06,69.25,-,-,-,53.6,-,-,-,-,TRUE,-,https://arxiv.org/abs/2012.11409
EPNet++,LiDAR,Point,2021,Dec,96.73,95.17,92.1,91.37,81.96,76.71,95.41,89,85.73,-,-,-,-,0.1,TRUE,GPU @ 2.5 Ghz (Python),https://arxiv.org/abs/2112.11088
SASA,LiDAR,Point,2022,Jan,96.01,95.35,92.42,88.76,82.16,77.16,92.87,89.51,86.35,-,-,-,-,0.04,TRUE,1 core @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/2201.01976
IA-SSD,LiDAR,Point,2022,Mar,96.1,93.56,90.68,88.27,80.32,75.1,92.79,89.33,84.35,-,-,-,-,0.014,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2203.11139
DFAF3D,LiDAR,Point,2023,Jan,96.58,93.32,90.24,88.59,79.37,72.21,93.14,89.45,84.22,-,-,-,-,-,FALSE,1 core @ 2.5 Ghz (Python),https://www.sciencedirect.com/science/article/pii/S0262885622002232?casa_token=8BB4XKvbmu8AAAAA:MJu42DTy2o2xqi8RmYe0siPUj_4gO-YKsEAVJ_Z-3hihILQaugN83sIScZTAqkVwYPk2-HEYgKU
RDD,LiDAR,Point,2023,Aug,-,-,-,-,-,-,-,-,-,57.1,65,-,-,-,FALSE,-,https://arxiv.org/pdf/2308.10308
PAttFormer,LiDAR,Point,2024,Apr,-,-,-,91,82,79.1,-,-,-,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/2404.12798
HINTED,LiDAR,Point,2024,Jun,95.16,90.97,85.55,84,74.13,67.03,90.61,86.01,79.29,-,-,-,-,0.04,TRUE,1 core @ 2.5 Ghz (C/C++),https://ieeexplore.ieee.org/document/10655437
PVCNN,LiDAR,Point-Voxel,2019,Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/1907.03739
Fast Point R-CNN,LiDAR,Point-Voxel,2019,Aug,96.13,93.18,87.68,85.29,77.4,70.24,90.87,87.84,80.52,-,-,-,-,0.06,FALSE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/1908.02990
PV-RCNN,LiDAR,Point-Voxel,2019,Dec,98.17,94.7,92.04,90.25,81.43,76.82,94.98,90.65,86.14,-,-,77.51,68.98,0.08,TRUE,1 core @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/1912.13192
SA-SSD,LiDAR,Point-Voxel,2020,Jun,97.92,95.16,90.15,88.75,79.79,74.16,95.03,91.03,85.96,-,-,-,-,0.04,TRUE,1 core @ 2.5 Ghz (Python),https://openaccess.thecvf.com/content_CVPR_2020/papers/He_Structure_Aware_Single-Stage_3D_Object_Detection_From_Point_Cloud_CVPR_2020_paper.pdf
InfoFocus,LiDAR,Point-Voxel,2020,Jul,-,-,-,-,-,-,-,-,-,39.5,-,-,-,-,FALSE,-,https://arxiv.org/abs/2007.08556
SPVNAS,LiDAR,Point-Voxel,2020,Jul,-,-,-,87.8,78.4,74.8,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2007.16100
PV-RCNN++,LiDAR,Point-Voxel,2021,Jan,-,-,-,90.14,81.88,77.15,-,-,-,-,-,79.25,70.61,-,FALSE,-,https://arxiv.org/abs/2102.00463
LiDAR R-CNN,LiDAR,Point-Voxel,2021,Mar,-,-,-,-,-,-,-,-,-,-,-,76,68.3,-,TRUE,-,https://arxiv.org/abs/2103.15297
SIENet ,LiDAR,Point-Voxel,2021,Mar,96.02,94.97,92.4,88.22,81.71,77.22,92.38,88.65,86.03,-,-,-,-,0.08,TRUE,1 core @ 2.5 Ghz (Python),https://arxiv.org/abs/2103.15396
BADet,LiDAR,Point-Voxel,2021,Apr,98.65,95.34,90.28,89.28,81.61,76.59,95.23,91.32,86.48,-,-,-,-,0.14,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2104.10330
